Topic #,Meaning,Top Words
0,These reviews generally indicate that the toilet was easy to install.,toilet flush install easy seat great one everything installed height
1,These reviews generally indicate that the toilet functions well and is a good replacement for an old one.,toilet one flush well old installed seat tank height bolt
2,These reviews generally indicate that the toilet's bolts and seals were easy to get and work with.,toilet bolt store seat flush seal tank get mansfield work
3,These reviews generally indicate that the toilet is a good quality product with nice parts.,good replaced toilet product unit base nice part quality bolt
4,These reviews generally indicate that the toilet's seat and flush system work well.,toilet seat flush water bolt like bowl tank one old
5,"These reviews generally indicate that the toilet's tank, flush, and bowl are easy to install and come with good instructions.",toilet tank flush seat bowl instruction easy bolt one install
6,These reviews generally indicate that the toilet is easy to install and is a well-made American product.,toilet flush easy install well seat come american made box
7,"These reviews generally indicate that the toilet looks good, works well, and has no leaks.",flush toilet denali like well look leak tank time work
8,"These reviews generally indicate that the toilet is easy to install, works great, and is a good fit for small bathrooms.",toilet would easy great flush bathroom install tank everything screw
9,"These reviews generally indicate that the toilet is a good replacement for an old one, and comes with a new lid and water line.",toilet tank new old lid one seat bolt water line
